Andaman and Nicobar,Andhra Pradesh,Arunachal Pradesh,Assam,Bihar,Chandigarh,Chhatisgarh,Dadra and Nagar Haveli,Daman and Diu,Goa,Gujrat,Haryana,Himchal Pradesh,Jammu and Kashmir,Jharkhand,Karnataka ,Kerela,Lakshadweep,Madhya Pradesh,Maharashtra,Manipur,Meghalaya,Mizoram,Nagaland,Delhi,Odisha,Puduchery,Punjab,Rajashtan,Sikkim,Tamil Nadu ,Telangana,Tripura,Uttar Pradesh,Uttarakhand,West Bengal
0,3,16,34,61,99,100,127,128,130,132,165,186,198,220,244,274,288,289,340,376,385,395,403,414,415,445,449,471,504,508,540,550,558,633,646
1,4,17,35,62,,101,,129,131,133,166,187,199,221,245,275,,290,341,377,386,396,404,,416,446,450,472,505,509,541,551,559,634,647
2,5,18,36,63,,102,,,,134,167,188,200,222,246,276,,291,342,378,387,397,405,,417,447,451,473,506,510,542,552,560,635,648
,6,19,37,64,,103,,,,135,168,189,201,223,247,277,,292,343,379,388,398,406,,418,448,452,474,507,511,543,553,561,636,649
,7,20,38,65,,104,,,,136,169,190,202,224,248,278,,293,344,380,389,399,407,,419,,453,475,,512,544,554,562,637,650
,8,21,39,66,,105,,,,137,170,191,203,225,249,279,,294,345,381,390,400,408,,420,,454,476,,513,545,555,563,638,651
,9,22,40,67,,106,,,,138,171,192,204,226,250,280,,295,346,382,391,401,409,,421,,455,477,,514,546,556,564,639,652
,10,23,41,68,,107,,,,139,172,193,205,227,251,281,,296,347,383,392,402,410,,422,,456,478,,515,547,557,565,640,653
,11,24,42,69,,108,,,,140,173,194,206,228,252,282,,297,348,384,393,,411,,423,,457,479,,516,548,,566,641,654
,12,25,43,70,,109,,,,141,174,195,207,229,253,283,,298,349,,394,,412,,424,,458,480,,517,549,,567,642,655
,13,26,44,71,,110,,,,142,175,196,208,230,254,284,,299,350,,,,413,,425,,459,481,,518,,,568,643,656
,14,27,45,72,,111,,,,143,176,197,209,231,255,285,,300,351,,,,,,426,,460,482,,519,,,569,644,657
,15,28,46,73,,112,,,,144,177,,210,232,256,286,,301,352,,,,,,427,,461,483,,520,,,570,645,658
,,29,47,74,,113,,,,145,178,,211,233,257,287,,302,353,,,,,,428,,462,484,,521,,,571,,659
,,30,48,75,,114,,,,146,179,,212,234,258,,,303,354,,,,,,429,,463,485,,522,,,572,,660
,,31,49,76,,115,,,,147,180,,213,235,259,,,304,355,,,,,,430,,464,486,,523,,,573,,661
,,32,50,77,,116,,,,148,181,,214,236,260,,,305,356,,,,,,431,,465,487,,524,,,574,,662
,,33,51,78,,117,,,,149,182,,215,237,261,,,306,357,,,,,,432,,466,488,,525,,,575,,663
,,,52,79,,118,,,,150,183,,216,238,262,,,307,358,,,,,,433,,467,489,,526,,,576,,664
,,,53,80,,119,,,,151,184,,217,239,263,,,308,359,,,,,,434,,468,490,,527,,,577,,665
,,,54,81,,120,,,,152,185,,218,240,264,,,309,360,,,,,,435,,469,491,,528,,,578,,
,,,55,82,,121,,,,153,,,219,241,265,,,310,361,,,,,,436,,470,492,,529,,,579,,
,,,56,83,,122,,,,154,,,,242,266,,,311,362,,,,,,437,,,493,,530,,,580,,
,,,57,84,,123,,,,155,,,,243,267,,,312,363,,,,,,438,,,494,,531,,,581,,
,,,58,85,,124,,,,156,,,,,268,,,313,364,,,,,,439,,,495,,532,,,582,,
,,,59,86,,125,,,,157,,,,,269,,,314,365,,,,,,440,,,496,,533,,,583,,
,,,60,87,,126,,,,158,,,,,270,,,315,366,,,,,,441,,,497,,534,,,584,,
,,,,88,,,,,,159,,,,,271,,,316,367,,,,,,442,,,498,,535,,,585,,
,,,,89,,,,,,160,,,,,272,,,317,368,,,,,,443,,,499,,536,,,586,,
,,,,90,,,,,,161,,,,,273,,,318,369,,,,,,444,,,500,,537,,,587,,
,,,,91,,,,,,162,,,,,,,,319,370,,,,,,,,,501,,538,,,588,,
,,,,92,,,,,,163,,,,,,,,320,371,,,,,,,,,502,,539,,,589,,
,,,,93,,,,,,164,,,,,,,,321,372,,,,,,,,,503,,,,,590,,
,,,,94,,,,,,,,,,,,,,322,373,,,,,,,,,,,,,,591,,
,,,,95,,,,,,,,,,,,,,323,374,,,,,,,,,,,,,,592,,
,,,,96,,,,,,,,,,,,,,324,375,,,,,,,,,,,,,,593,,
,,,,97,,,,,,,,,,,,,,325,,,,,,,,,,,,,,,594,,
,,,,98,,,,,,,,,,,,,,326,,,,,,,,,,,,,,,595,,
,,,,,,,,,,,,,,,,,,327,,,,,,,,,,,,,,,596,,
,,,,,,,,,,,,,,,,,,328,,,,,,,,,,,,,,,597,,
,,,,,,,,,,,,,,,,,,329,,,,,,,,,,,,,,,598,,
,,,,,,,,,,,,,,,,,,330,,,,,,,,,,,,,,,599,,
,,,,,,,,,,,,,,,,,,331,,,,,,,,,,,,,,,600,,
,,,,,,,,,,,,,,,,,,332,,,,,,,,,,,,,,,601,,
,,,,,,,,,,,,,,,,,,333,,,,,,,,,,,,,,,602,,
,,,,,,,,,,,,,,,,,,334,,,,,,,,,,,,,,,603,,
,,,,,,,,,,,,,,,,,,335,,,,,,,,,,,,,,,604,,
,,,,,,,,,,,,,,,,,,336,,,,,,,,,,,,,,,605,,
,,,,,,,,,,,,,,,,,,337,,,,,,,,,,,,,,,606,,
,,,,,,,,,,,,,,,,,,338,,,,,,,,,,,,,,,607,,
,,,,,,,,,,,,,,,,,,339,,,,,,,,,,,,,,,608,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,609,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,610,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,611,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,612,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,613,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,614,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,615,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,616,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,617,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,618,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,619,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,620,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,621,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,622,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,623,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,624,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,625,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,626,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,627,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,628,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,629,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,630,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,631,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,632,,
